"intersection_id","tollgate_id","time_window","avg_travel_time"
"B","3","[2016-10-18 13:00:00,2016-10-18 13:20:00)","117.65"
"B","3","[2016-10-18 13:20:00,2016-10-18 13:40:00)","90.83"
"B","3","[2016-10-18 13:40:00,2016-10-18 14:00:00)","99.16"
"B","3","[2016-10-18 14:00:00,2016-10-18 14:20:00)","123.75"
"B","3","[2016-10-18 14:20:00,2016-10-18 14:40:00)","92.07"
"B","3","[2016-10-18 14:40:00,2016-10-18 15:00:00)","83.17"
"B","3","[2016-10-18 15:00:00,2016-10-18 15:20:00)","135.06"
"B","3","[2016-10-18 15:20:00,2016-10-18 15:40:00)","61.22"
"B","3","[2016-10-18 15:40:00,2016-10-18 16:00:00)","132.87"
"B","3","[2016-10-18 16:00:00,2016-10-18 16:20:00)","111.9"
"B","3","[2016-10-18 16:20:00,2016-10-18 16:40:00)","84.37"
"B","3","[2016-10-18 16:40:00,2016-10-18 17:00:00)","85.17"
"B","3","[2016-10-18 17:00:00,2016-10-18 17:20:00)","80.49"
"B","3","[2016-10-18 17:20:00,2016-10-18 17:40:00)","97.56"
"B","3","[2016-10-18 17:40:00,2016-10-18 18:00:00)","104.47"
"B","3","[2016-10-18 18:00:00,2016-10-18 18:20:00)","125.47"
"B","3","[2016-10-18 18:20:00,2016-10-18 18:40:00)","111.18"
"B","3","[2016-10-18 18:40:00,2016-10-18 19:00:00)","117.39"
"B","3","[2016-10-18 19:20:00,2016-10-18 19:40:00)","49.16"
"B","3","[2016-10-18 19:40:00,2016-10-18 20:00:00)","80.09"
"B","3","[2016-10-18 20:00:00,2016-10-18 20:20:00)","79.79"
"B","3","[2016-10-18 20:20:00,2016-10-18 20:40:00)","127.4"
"B","3","[2016-10-18 20:40:00,2016-10-18 21:00:00)","139.06"
"B","3","[2016-10-18 21:00:00,2016-10-18 21:20:00)","93.79"
"B","3","[2016-10-18 21:40:00,2016-10-18 22:00:00)","92.73"
"B","3","[2016-10-18 22:20:00,2016-10-18 22:40:00)","126.05"
"B","3","[2016-10-18 23:20:00,2016-10-18 23:40:00)","67.28"
"B","3","[2016-10-18 23:40:00,2016-10-19 00:00:00)","80.51"
"B","3","[2016-10-19 00:00:00,2016-10-19 00:20:00)","99.9"
"B","3","[2016-10-19 00:40:00,2016-10-19 01:00:00)","66.63"
"B","3","[2016-10-19 01:40:00,2016-10-19 02:00:00)","68.96"
"B","3","[2016-10-19 02:00:00,2016-10-19 02:20:00)","80.97"
"B","3","[2016-10-19 02:40:00,2016-10-19 03:00:00)","101.39"
"B","3","[2016-10-19 03:40:00,2016-10-19 04:00:00)","60.31"
"B","3","[2016-10-19 04:40:00,2016-10-19 05:00:00)","77.64"
"B","3","[2016-10-19 06:00:00,2016-10-19 06:20:00)","102.83"
"B","3","[2016-10-19 06:20:00,2016-10-19 06:40:00)","106.34"
"B","3","[2016-10-19 07:00:00,2016-10-19 07:20:00)","141.43"
"B","3","[2016-10-19 07:20:00,2016-10-19 07:40:00)","73.72"
"B","3","[2016-10-19 07:40:00,2016-10-19 08:00:00)","80.27"
"B","3","[2016-10-19 08:00:00,2016-10-19 08:20:00)","70.3"
"B","3","[2016-10-19 08:20:00,2016-10-19 08:40:00)","145.63"
"B","3","[2016-10-19 08:40:00,2016-10-19 09:00:00)","120.0"
"B","3","[2016-10-19 09:00:00,2016-10-19 09:20:00)","129.17"
"B","3","[2016-10-19 09:20:00,2016-10-19 09:40:00)","108.18"
"B","3","[2016-10-19 09:40:00,2016-10-19 10:00:00)","112.14"
"B","3","[2016-10-19 10:00:00,2016-10-19 10:20:00)","110.87"
"B","3","[2016-10-19 10:20:00,2016-10-19 10:40:00)","116.29"
"B","3","[2016-10-19 10:40:00,2016-10-19 11:00:00)","98.9"
"B","3","[2016-10-19 11:00:00,2016-10-19 11:20:00)","92.89"
"B","3","[2016-10-19 11:20:00,2016-10-19 11:40:00)","109.8"
"B","3","[2016-10-19 11:40:00,2016-10-19 12:00:00)","124.3"
"B","3","[2016-10-19 12:00:00,2016-10-19 12:20:00)","115.77"
"B","3","[2016-10-19 12:20:00,2016-10-19 12:40:00)","126.68"
"B","3","[2016-10-19 12:40:00,2016-10-19 13:00:00)","68.88"
"B","3","[2016-10-19 13:00:00,2016-10-19 13:20:00)","115.73"
"B","3","[2016-10-19 13:20:00,2016-10-19 13:40:00)","82.57"
"B","3","[2016-10-19 13:40:00,2016-10-19 14:00:00)","129.01"
"B","3","[2016-10-19 14:00:00,2016-10-19 14:20:00)","96.35"
"B","3","[2016-10-19 14:20:00,2016-10-19 14:40:00)","103.64"
"B","3","[2016-10-19 14:40:00,2016-10-19 15:00:00)","68.83"
"B","3","[2016-10-19 15:00:00,2016-10-19 15:20:00)","82.13"
"B","3","[2016-10-19 15:20:00,2016-10-19 15:40:00)","128.95"
"B","3","[2016-10-19 15:40:00,2016-10-19 16:00:00)","84.24"
"B","3","[2016-10-19 16:00:00,2016-10-19 16:20:00)","115.72"
"B","3","[2016-10-19 16:20:00,2016-10-19 16:40:00)","141.25"
"B","3","[2016-10-19 16:40:00,2016-10-19 17:00:00)","102.53"
"B","3","[2016-10-19 17:00:00,2016-10-19 17:20:00)","106.34"
"B","3","[2016-10-19 17:20:00,2016-10-19 17:40:00)","105.73"
"B","3","[2016-10-19 17:40:00,2016-10-19 18:00:00)","101.06"
"B","3","[2016-10-19 18:00:00,2016-10-19 18:20:00)","87.42"
"B","3","[2016-10-19 18:20:00,2016-10-19 18:40:00)","110.38"
"B","3","[2016-10-19 18:40:00,2016-10-19 19:00:00)","80.84"
"B","3","[2016-10-19 19:00:00,2016-10-19 19:20:00)","115.22"
"B","3","[2016-10-19 19:40:00,2016-10-19 20:00:00)","90.42"
"B","3","[2016-10-19 20:00:00,2016-10-19 20:20:00)","96.08"
"B","3","[2016-10-19 20:40:00,2016-10-19 21:00:00)","24.94"
"B","3","[2016-10-19 21:20:00,2016-10-19 21:40:00)","82.27"
"B","3","[2016-10-19 21:40:00,2016-10-19 22:00:00)","71.51"
"B","3","[2016-10-19 22:20:00,2016-10-19 22:40:00)","75.0"
"B","3","[2016-10-19 22:40:00,2016-10-19 23:00:00)","72.51"
"B","3","[2016-10-20 00:00:00,2016-10-20 00:20:00)","33.16"
"B","3","[2016-10-20 00:20:00,2016-10-20 00:40:00)","57.36"
"B","3","[2016-10-20 01:00:00,2016-10-20 01:20:00)","33.43"
"B","3","[2016-10-20 01:20:00,2016-10-20 01:40:00)","73.61"
"B","3","[2016-10-20 02:40:00,2016-10-20 03:00:00)","57.87"
"B","3","[2016-10-20 04:20:00,2016-10-20 04:40:00)","92.45"
"B","3","[2016-10-20 05:20:00,2016-10-20 05:40:00)","82.92"
"B","3","[2016-10-20 06:00:00,2016-10-20 06:20:00)","126.27"
"B","3","[2016-10-20 06:20:00,2016-10-20 06:40:00)","84.63"
"B","3","[2016-10-20 06:40:00,2016-10-20 07:00:00)","110.79"
"B","3","[2016-10-20 07:20:00,2016-10-20 07:40:00)","66.86"
"B","3","[2016-10-20 07:40:00,2016-10-20 08:00:00)","107.81"
"B","3","[2016-10-20 08:00:00,2016-10-20 08:20:00)","93.88"
"B","3","[2016-10-20 08:20:00,2016-10-20 08:40:00)","87.78"
"B","3","[2016-10-20 08:40:00,2016-10-20 09:00:00)","103.01"
"B","3","[2016-10-20 09:00:00,2016-10-20 09:20:00)","94.06"
"B","3","[2016-10-20 09:20:00,2016-10-20 09:40:00)","114.88"
"B","3","[2016-10-20 09:40:00,2016-10-20 10:00:00)","70.85"
"B","3","[2016-10-20 10:00:00,2016-10-20 10:20:00)","116.25"
"B","3","[2016-10-20 10:20:00,2016-10-20 10:40:00)","94.64"
"B","3","[2016-10-20 10:40:00,2016-10-20 11:00:00)","92.56"
"B","3","[2016-10-20 11:00:00,2016-10-20 11:20:00)","75.04"
"B","3","[2016-10-20 11:20:00,2016-10-20 11:40:00)","106.09"
"B","3","[2016-10-20 11:40:00,2016-10-20 12:00:00)","100.51"
"B","3","[2016-10-20 12:00:00,2016-10-20 12:20:00)","85.33"
"B","3","[2016-10-20 12:20:00,2016-10-20 12:40:00)","99.64"
"B","3","[2016-10-20 12:40:00,2016-10-20 13:00:00)","95.54"
"B","3","[2016-10-20 13:00:00,2016-10-20 13:20:00)","64.16"
"B","3","[2016-10-20 13:20:00,2016-10-20 13:40:00)","90.72"
"B","3","[2016-10-20 13:40:00,2016-10-20 14:00:00)","88.04"
"B","3","[2016-10-20 14:00:00,2016-10-20 14:20:00)","110.72"
"B","3","[2016-10-20 14:20:00,2016-10-20 14:40:00)","93.37"
"B","3","[2016-10-20 14:40:00,2016-10-20 15:00:00)","73.17"
"B","3","[2016-10-20 15:00:00,2016-10-20 15:20:00)","122.19"
"B","3","[2016-10-20 15:20:00,2016-10-20 15:40:00)","77.16"
"B","3","[2016-10-20 15:40:00,2016-10-20 16:00:00)","78.73"
"B","3","[2016-10-20 16:00:00,2016-10-20 16:20:00)","107.68"
"B","3","[2016-10-20 16:20:00,2016-10-20 16:40:00)","102.18"
"B","3","[2016-10-20 16:40:00,2016-10-20 17:00:00)","146.32"
"B","3","[2016-10-20 17:00:00,2016-10-20 17:20:00)","116.79"
"B","3","[2016-10-20 17:20:00,2016-10-20 17:40:00)","93.09"
"B","3","[2016-10-20 17:40:00,2016-10-20 18:00:00)","87.7"
"B","3","[2016-10-20 18:00:00,2016-10-20 18:20:00)","99.22"
"B","3","[2016-10-20 18:20:00,2016-10-20 18:40:00)","80.24"
"B","3","[2016-10-20 18:40:00,2016-10-20 19:00:00)","106.83"
"B","3","[2016-10-20 21:00:00,2016-10-20 21:20:00)","91.05"
"B","3","[2016-10-20 21:20:00,2016-10-20 21:40:00)","106.26"
"B","3","[2016-10-20 23:00:00,2016-10-20 23:20:00)","88.18"
"B","3","[2016-10-21 00:20:00,2016-10-21 00:40:00)","135.45"
"B","3","[2016-10-21 01:00:00,2016-10-21 01:20:00)","45.72"
"B","3","[2016-10-21 02:20:00,2016-10-21 02:40:00)","48.67"
"B","3","[2016-10-21 03:00:00,2016-10-21 03:20:00)","71.64"
"B","3","[2016-10-21 03:20:00,2016-10-21 03:40:00)","56.75"
"B","3","[2016-10-21 03:40:00,2016-10-21 04:00:00)","102.09"
"B","3","[2016-10-21 04:20:00,2016-10-21 04:40:00)","83.96"
"B","3","[2016-10-21 05:20:00,2016-10-21 05:40:00)","70.91"
"B","3","[2016-10-21 06:20:00,2016-10-21 06:40:00)","48.07"
"B","3","[2016-10-21 06:40:00,2016-10-21 07:00:00)","59.52"
"B","3","[2016-10-21 07:00:00,2016-10-21 07:20:00)","103.71"
"B","3","[2016-10-21 07:20:00,2016-10-21 07:40:00)","68.25"
"B","3","[2016-10-21 07:40:00,2016-10-21 08:00:00)","104.03"
"B","3","[2016-10-21 08:00:00,2016-10-21 08:20:00)","85.64"
"B","3","[2016-10-21 08:20:00,2016-10-21 08:40:00)","99.17"
"B","3","[2016-10-21 08:40:00,2016-10-21 09:00:00)","102.09"
"B","3","[2016-10-21 09:00:00,2016-10-21 09:20:00)","103.95"
"B","3","[2016-10-21 09:20:00,2016-10-21 09:40:00)","82.41"
"B","3","[2016-10-21 09:40:00,2016-10-21 10:00:00)","107.51"
"B","3","[2016-10-21 10:00:00,2016-10-21 10:20:00)","93.75"
"B","3","[2016-10-21 10:20:00,2016-10-21 10:40:00)","119.6"
"B","3","[2016-10-21 10:40:00,2016-10-21 11:00:00)","90.81"
"B","3","[2016-10-21 11:00:00,2016-10-21 11:20:00)","85.04"
"B","3","[2016-10-21 11:20:00,2016-10-21 11:40:00)","100.8"
"B","3","[2016-10-21 11:40:00,2016-10-21 12:00:00)","94.93"
"B","3","[2016-10-21 12:00:00,2016-10-21 12:20:00)","111.08"
"B","3","[2016-10-21 12:20:00,2016-10-21 12:40:00)","99.3"
"B","3","[2016-10-21 12:40:00,2016-10-21 13:00:00)","95.92"
"B","3","[2016-10-21 13:00:00,2016-10-21 13:20:00)","97.7"
"B","3","[2016-10-21 13:20:00,2016-10-21 13:40:00)","110.23"
"B","3","[2016-10-21 13:40:00,2016-10-21 14:00:00)","108.24"
"B","3","[2016-10-21 14:00:00,2016-10-21 14:20:00)","136.98"
"B","3","[2016-10-21 14:20:00,2016-10-21 14:40:00)","64.45"
"B","3","[2016-10-21 14:40:00,2016-10-21 15:00:00)","71.82"
"B","3","[2016-10-21 15:00:00,2016-10-21 15:20:00)","141.22"
"B","3","[2016-10-21 15:20:00,2016-10-21 15:40:00)","110.21"
"B","3","[2016-10-21 15:40:00,2016-10-21 16:00:00)","131.13"
"B","3","[2016-10-21 16:00:00,2016-10-21 16:20:00)","96.29"
"B","3","[2016-10-21 16:20:00,2016-10-21 16:40:00)","110.03"
"B","3","[2016-10-21 16:40:00,2016-10-21 17:00:00)","117.99"
"B","3","[2016-10-21 17:00:00,2016-10-21 17:20:00)","84.76"
"B","3","[2016-10-21 17:20:00,2016-10-21 17:40:00)","108.29"
"B","3","[2016-10-21 17:40:00,2016-10-21 18:00:00)","130.19"
"B","3","[2016-10-21 18:00:00,2016-10-21 18:20:00)","137.44"
"B","3","[2016-10-21 18:20:00,2016-10-21 18:40:00)","120.71"
"B","3","[2016-10-21 18:40:00,2016-10-21 19:00:00)","60.02"
"B","3","[2016-10-21 19:00:00,2016-10-21 19:20:00)","117.48"
"B","3","[2016-10-21 19:20:00,2016-10-21 19:40:00)","91.0"
"B","3","[2016-10-21 19:40:00,2016-10-21 20:00:00)","98.6"
"B","3","[2016-10-21 20:00:00,2016-10-21 20:20:00)","79.51"
"B","3","[2016-10-21 20:20:00,2016-10-21 20:40:00)","89.73"
"B","3","[2016-10-21 20:40:00,2016-10-21 21:00:00)","97.88"
"B","3","[2016-10-21 21:00:00,2016-10-21 21:20:00)","66.01"
"B","3","[2016-10-21 22:00:00,2016-10-21 22:20:00)","70.95"
"B","3","[2016-10-21 22:40:00,2016-10-21 23:00:00)","100.45"
"B","3","[2016-10-21 23:40:00,2016-10-22 00:00:00)","60.13"
"B","3","[2016-10-22 00:40:00,2016-10-22 01:00:00)","80.15"
"B","3","[2016-10-22 01:00:00,2016-10-22 01:20:00)","54.8"
"B","3","[2016-10-22 02:20:00,2016-10-22 02:40:00)","121.44"
"B","3","[2016-10-22 04:40:00,2016-10-22 05:00:00)","111.09"
"B","3","[2016-10-22 05:40:00,2016-10-22 06:00:00)","87.97"
"B","3","[2016-10-22 06:40:00,2016-10-22 07:00:00)","116.59"
"B","3","[2016-10-22 07:00:00,2016-10-22 07:20:00)","82.45"
"B","3","[2016-10-22 07:20:00,2016-10-22 07:40:00)","91.26"
"B","3","[2016-10-22 07:40:00,2016-10-22 08:00:00)","111.6"
"B","3","[2016-10-22 08:00:00,2016-10-22 08:20:00)","103.23"
"B","3","[2016-10-22 08:20:00,2016-10-22 08:40:00)","111.49"
"B","3","[2016-10-22 08:40:00,2016-10-22 09:00:00)","65.55"
"B","3","[2016-10-22 09:00:00,2016-10-22 09:20:00)","92.04"
"B","3","[2016-10-22 09:20:00,2016-10-22 09:40:00)","116.15"
"B","3","[2016-10-22 09:40:00,2016-10-22 10:00:00)","114.06"
"B","3","[2016-10-22 10:00:00,2016-10-22 10:20:00)","106.28"
"B","3","[2016-10-22 10:20:00,2016-10-22 10:40:00)","123.33"
"B","3","[2016-10-22 10:40:00,2016-10-22 11:00:00)","136.42"
"B","3","[2016-10-22 11:00:00,2016-10-22 11:20:00)","97.36"
"B","3","[2016-10-22 11:20:00,2016-10-22 11:40:00)","98.93"
"B","3","[2016-10-22 11:40:00,2016-10-22 12:00:00)","89.37"
"B","3","[2016-10-22 12:00:00,2016-10-22 12:20:00)","95.72"
"B","3","[2016-10-22 12:20:00,2016-10-22 12:40:00)","99.27"
"B","3","[2016-10-22 12:40:00,2016-10-22 13:00:00)","123.18"
"B","3","[2016-10-22 13:00:00,2016-10-22 13:20:00)","182.83"
"B","3","[2016-10-22 13:20:00,2016-10-22 13:40:00)","101.31"
"B","3","[2016-10-22 13:40:00,2016-10-22 14:00:00)","117.49"
"B","3","[2016-10-22 14:00:00,2016-10-22 14:20:00)","105.02"
"B","3","[2016-10-22 14:20:00,2016-10-22 14:40:00)","104.69"
"B","3","[2016-10-22 14:40:00,2016-10-22 15:00:00)","107.03"
"B","3","[2016-10-22 15:00:00,2016-10-22 15:20:00)","105.32"
"B","3","[2016-10-22 15:20:00,2016-10-22 15:40:00)","81.86"
"B","3","[2016-10-22 15:40:00,2016-10-22 16:00:00)","122.33"
"B","3","[2016-10-22 16:00:00,2016-10-22 16:20:00)","98.95"
"B","3","[2016-10-22 16:20:00,2016-10-22 16:40:00)","95.1"
"B","3","[2016-10-22 16:40:00,2016-10-22 17:00:00)","124.97"
"B","3","[2016-10-22 17:00:00,2016-10-22 17:20:00)","87.86"
"B","3","[2016-10-22 17:20:00,2016-10-22 17:40:00)","103.59"
"B","3","[2016-10-22 17:40:00,2016-10-22 18:00:00)","120.99"
"B","3","[2016-10-22 18:00:00,2016-10-22 18:20:00)","95.22"
"B","3","[2016-10-22 18:20:00,2016-10-22 18:40:00)","72.77"
"B","3","[2016-10-22 18:40:00,2016-10-22 19:00:00)","88.6"
"B","3","[2016-10-22 19:00:00,2016-10-22 19:20:00)","69.57"
"B","3","[2016-10-22 19:20:00,2016-10-22 19:40:00)","373.06"
"B","3","[2016-10-22 19:40:00,2016-10-22 20:00:00)","96.35"
"B","3","[2016-10-22 20:00:00,2016-10-22 20:20:00)","41.54"
"B","3","[2016-10-22 20:20:00,2016-10-22 20:40:00)","131.23"
"B","3","[2016-10-22 20:40:00,2016-10-22 21:00:00)","84.56"
"B","3","[2016-10-22 21:20:00,2016-10-22 21:40:00)","51.24"
"B","3","[2016-10-22 21:40:00,2016-10-22 22:00:00)","155.24"
"B","3","[2016-10-22 22:00:00,2016-10-22 22:20:00)","130.64"
"B","3","[2016-10-22 22:20:00,2016-10-22 22:40:00)","126.93"
"B","3","[2016-10-22 22:40:00,2016-10-22 23:00:00)","94.18"
"B","3","[2016-10-22 23:00:00,2016-10-22 23:20:00)","58.1"
"B","3","[2016-10-22 23:20:00,2016-10-22 23:40:00)","67.33"
"B","3","[2016-10-23 00:00:00,2016-10-23 00:20:00)","103.11"
"B","3","[2016-10-23 00:20:00,2016-10-23 00:40:00)","71.8"
"B","3","[2016-10-23 01:00:00,2016-10-23 01:20:00)","135.04"
"B","3","[2016-10-23 02:00:00,2016-10-23 02:20:00)","61.31"
"B","3","[2016-10-23 04:40:00,2016-10-23 05:00:00)","434.74"
"B","3","[2016-10-23 06:20:00,2016-10-23 06:40:00)","100.63"
"B","3","[2016-10-23 07:00:00,2016-10-23 07:20:00)","87.34"
"B","3","[2016-10-23 07:20:00,2016-10-23 07:40:00)","102.72"
"B","3","[2016-10-23 07:40:00,2016-10-23 08:00:00)","107.13"
"B","3","[2016-10-23 08:00:00,2016-10-23 08:20:00)","106.67"
"B","3","[2016-10-23 08:20:00,2016-10-23 08:40:00)","85.55"
"B","3","[2016-10-23 08:40:00,2016-10-23 09:00:00)","91.14"
"B","3","[2016-10-23 09:00:00,2016-10-23 09:20:00)","64.23"
"B","3","[2016-10-23 09:20:00,2016-10-23 09:40:00)","120.49"
"B","3","[2016-10-23 09:40:00,2016-10-23 10:00:00)","105.35"
"B","3","[2016-10-23 10:00:00,2016-10-23 10:20:00)","69.38"
"B","3","[2016-10-23 10:20:00,2016-10-23 10:40:00)","74.51"
"B","3","[2016-10-23 10:40:00,2016-10-23 11:00:00)","114.74"
"B","3","[2016-10-23 11:00:00,2016-10-23 11:20:00)","103.09"
"B","3","[2016-10-23 11:40:00,2016-10-23 12:00:00)","114.92"
"B","3","[2016-10-23 12:00:00,2016-10-23 12:20:00)","85.68"
"B","3","[2016-10-23 12:40:00,2016-10-23 13:00:00)","73.34"
"B","3","[2016-10-23 13:00:00,2016-10-23 13:20:00)","80.29"
"B","3","[2016-10-23 13:20:00,2016-10-23 13:40:00)","104.37"
"B","3","[2016-10-23 13:40:00,2016-10-23 14:00:00)","106.34"
"B","3","[2016-10-23 14:00:00,2016-10-23 14:20:00)","113.03"
"B","3","[2016-10-23 14:20:00,2016-10-23 14:40:00)","116.04"
"B","3","[2016-10-23 14:40:00,2016-10-23 15:00:00)","99.0"
"B","3","[2016-10-23 15:00:00,2016-10-23 15:20:00)","100.44"
"B","3","[2016-10-23 15:20:00,2016-10-23 15:40:00)","111.74"
"B","3","[2016-10-23 15:40:00,2016-10-23 16:00:00)","106.38"
"B","3","[2016-10-23 16:00:00,2016-10-23 16:20:00)","103.15"
"B","3","[2016-10-23 16:20:00,2016-10-23 16:40:00)","149.42"
"B","3","[2016-10-23 16:40:00,2016-10-23 17:00:00)","101.33"
"B","3","[2016-10-23 17:00:00,2016-10-23 17:20:00)","88.62"
"B","3","[2016-10-23 17:20:00,2016-10-23 17:40:00)","104.55"
"B","3","[2016-10-23 17:40:00,2016-10-23 18:00:00)","90.96"
"B","3","[2016-10-23 18:00:00,2016-10-23 18:20:00)","109.01"
"B","3","[2016-10-23 18:20:00,2016-10-23 18:40:00)","81.63"
"B","3","[2016-10-23 18:40:00,2016-10-23 19:00:00)","104.62"
"B","3","[2016-10-23 19:00:00,2016-10-23 19:20:00)","96.24"
"B","3","[2016-10-23 19:20:00,2016-10-23 19:40:00)","58.41"
"B","3","[2016-10-23 19:40:00,2016-10-23 20:00:00)","72.98"
"B","3","[2016-10-23 20:00:00,2016-10-23 20:20:00)","100.17"
"B","3","[2016-10-23 20:20:00,2016-10-23 20:40:00)","75.18"
"B","3","[2016-10-23 20:40:00,2016-10-23 21:00:00)","101.67"
"B","3","[2016-10-23 21:00:00,2016-10-23 21:20:00)","79.64"
"B","3","[2016-10-23 21:20:00,2016-10-23 21:40:00)","60.95"
"B","3","[2016-10-23 21:40:00,2016-10-23 22:00:00)","121.03"
"B","3","[2016-10-23 22:00:00,2016-10-23 22:20:00)","71.52"
"B","3","[2016-10-23 22:20:00,2016-10-23 22:40:00)","138.69"
"B","3","[2016-10-23 22:40:00,2016-10-23 23:00:00)","80.97"
"B","3","[2016-10-23 23:20:00,2016-10-23 23:40:00)","60.18"
"B","3","[2016-10-24 00:00:00,2016-10-24 00:20:00)","58.71"
"B","3","[2016-10-24 03:20:00,2016-10-24 03:40:00)","98.49"
"B","3","[2016-10-24 05:00:00,2016-10-24 05:20:00)","55.03"
"B","3","[2016-10-24 05:40:00,2016-10-24 06:00:00)","146.7"
"B","3","[2016-10-24 06:00:00,2016-10-24 06:20:00)","83.81"
"B","3","[2016-10-24 06:20:00,2016-10-24 06:40:00)","96.08"
"B","3","[2016-10-24 06:40:00,2016-10-24 07:00:00)","107.53"
"B","3","[2016-10-24 07:00:00,2016-10-24 07:20:00)","107.09"
"B","3","[2016-10-24 07:20:00,2016-10-24 07:40:00)","97.1"
"B","3","[2016-10-24 07:40:00,2016-10-24 08:00:00)","112.2"
"B","3","[2016-10-24 08:00:00,2016-10-24 08:20:00)","120.81"
"B","3","[2016-10-24 08:20:00,2016-10-24 08:40:00)","98.33"
"B","3","[2016-10-24 08:40:00,2016-10-24 09:00:00)","107.49"
"B","3","[2016-10-24 09:00:00,2016-10-24 09:20:00)","147.68"
"B","3","[2016-10-24 09:20:00,2016-10-24 09:40:00)","124.16"
"B","3","[2016-10-24 09:40:00,2016-10-24 10:00:00)","136.56"
"B","3","[2016-10-24 10:00:00,2016-10-24 10:20:00)","100.0"
"B","3","[2016-10-24 10:20:00,2016-10-24 10:40:00)","118.5"
"B","3","[2016-10-24 10:40:00,2016-10-24 11:00:00)","74.23"
"B","3","[2016-10-24 11:00:00,2016-10-24 11:20:00)","74.03"
"B","3","[2016-10-24 11:20:00,2016-10-24 11:40:00)","99.73"
"B","3","[2016-10-24 11:40:00,2016-10-24 12:00:00)","158.71"
"B","3","[2016-10-24 12:00:00,2016-10-24 12:20:00)","104.24"
"B","3","[2016-10-24 12:20:00,2016-10-24 12:40:00)","85.08"
"B","3","[2016-10-24 12:40:00,2016-10-24 13:00:00)","97.88"
"B","3","[2016-10-24 13:00:00,2016-10-24 13:20:00)","122.7"
"B","3","[2016-10-24 13:20:00,2016-10-24 13:40:00)","103.85"
"B","3","[2016-10-24 13:40:00,2016-10-24 14:00:00)","128.96"
"B","3","[2016-10-24 14:00:00,2016-10-24 14:20:00)","104.69"
"B","3","[2016-10-24 14:20:00,2016-10-24 14:40:00)","95.15"
"B","3","[2016-10-24 14:40:00,2016-10-24 15:00:00)","74.28"
"B","3","[2016-10-24 15:00:00,2016-10-24 15:20:00)","127.51"
"B","3","[2016-10-24 15:20:00,2016-10-24 15:40:00)","76.68"
"B","3","[2016-10-24 15:40:00,2016-10-24 16:00:00)","98.0"
"B","3","[2016-10-24 16:00:00,2016-10-24 16:20:00)","65.32"
"B","3","[2016-10-24 16:20:00,2016-10-24 16:40:00)","82.3"
"B","3","[2016-10-24 16:40:00,2016-10-24 17:00:00)","109.51"
"B","3","[2016-10-24 17:00:00,2016-10-24 17:20:00)","110.46"
"B","3","[2016-10-24 17:20:00,2016-10-24 17:40:00)","57.83"
"B","3","[2016-10-24 17:40:00,2016-10-24 18:00:00)","118.39"
"B","3","[2016-10-24 18:00:00,2016-10-24 18:20:00)","104.99"
"B","3","[2016-10-24 18:20:00,2016-10-24 18:40:00)","129.71"
"B","3","[2016-10-24 18:40:00,2016-10-24 19:00:00)","46.32"
"B","3","[2016-10-24 19:00:00,2016-10-24 19:20:00)","112.2"
"B","3","[2016-10-24 19:40:00,2016-10-24 20:00:00)","124.28"
"B","3","[2016-10-24 20:00:00,2016-10-24 20:20:00)","101.36"
"B","3","[2016-10-24 20:20:00,2016-10-24 20:40:00)","83.06"
"B","3","[2016-10-24 20:40:00,2016-10-24 21:00:00)","111.51"
