"tollgate_id","time_window","direction","volume"
"1","[2016-09-19 02:40:00,2016-09-19 03:00:00)","1","10"
"1","[2016-09-19 02:40:00,2016-09-19 03:00:00)","0","6"
"3","[2016-09-19 02:40:00,2016-09-19 03:00:00)","0","18"
"1","[2016-09-19 03:00:00,2016-09-19 03:20:00)","1","10"
"1","[2016-09-19 03:00:00,2016-09-19 03:20:00)","0","9"
"3","[2016-09-19 03:00:00,2016-09-19 03:20:00)","1","5"
"3","[2016-09-19 03:00:00,2016-09-19 03:20:00)","0","10"
"1","[2016-09-19 03:20:00,2016-09-19 03:40:00)","1","14"
"1","[2016-09-19 03:20:00,2016-09-19 03:40:00)","0","4"
"3","[2016-09-19 03:20:00,2016-09-19 03:40:00)","1","3"
"3","[2016-09-19 03:20:00,2016-09-19 03:40:00)","0","10"
"1","[2016-09-19 03:40:00,2016-09-19 04:00:00)","1","20"
"1","[2016-09-19 03:40:00,2016-09-19 04:00:00)","0","9"
"3","[2016-09-19 03:40:00,2016-09-19 04:00:00)","1","10"
"3","[2016-09-19 03:40:00,2016-09-19 04:00:00)","0","9"
"1","[2016-09-19 04:00:00,2016-09-19 04:20:00)","1","18"
"1","[2016-09-19 04:00:00,2016-09-19 04:20:00)","0","10"
"3","[2016-09-19 04:00:00,2016-09-19 04:20:00)","1","4"
"3","[2016-09-19 04:00:00,2016-09-19 04:20:00)","0","11"
"1","[2016-09-19 04:20:00,2016-09-19 04:40:00)","1","17"
"1","[2016-09-19 04:20:00,2016-09-19 04:40:00)","0","13"
"3","[2016-09-19 04:20:00,2016-09-19 04:40:00)","1","7"
"3","[2016-09-19 04:20:00,2016-09-19 04:40:00)","0","8"
"1","[2016-09-19 04:40:00,2016-09-19 05:00:00)","1","23"
"1","[2016-09-19 04:40:00,2016-09-19 05:00:00)","0","12"
"3","[2016-09-19 04:40:00,2016-09-19 05:00:00)","1","3"
"3","[2016-09-19 04:40:00,2016-09-19 05:00:00)","0","10"
"1","[2016-09-19 05:00:00,2016-09-19 05:20:00)","1","28"
"1","[2016-09-19 05:00:00,2016-09-19 05:20:00)","0","2"
"3","[2016-09-19 05:00:00,2016-09-19 05:20:00)","1","11"
"3","[2016-09-19 05:00:00,2016-09-19 05:20:00)","0","9"
"2","[2016-09-19 05:00:00,2016-09-19 05:20:00)","0","14"
"1","[2016-09-19 05:20:00,2016-09-19 05:40:00)","1","24"
"1","[2016-09-19 05:20:00,2016-09-19 05:40:00)","0","8"
"3","[2016-09-19 05:20:00,2016-09-19 05:40:00)","1","7"
"3","[2016-09-19 05:20:00,2016-09-19 05:40:00)","0","14"
"2","[2016-09-19 05:20:00,2016-09-19 05:40:00)","0","12"
"1","[2016-09-19 05:40:00,2016-09-19 06:00:00)","1","34"
"1","[2016-09-19 05:40:00,2016-09-19 06:00:00)","0","13"
"3","[2016-09-19 05:40:00,2016-09-19 06:00:00)","1","13"
"3","[2016-09-19 05:40:00,2016-09-19 06:00:00)","0","27"
"2","[2016-09-19 05:40:00,2016-09-19 06:00:00)","0","21"
"1","[2016-09-19 06:00:00,2016-09-19 06:20:00)","1","39"
"1","[2016-09-19 06:00:00,2016-09-19 06:20:00)","0","8"
"3","[2016-09-19 06:00:00,2016-09-19 06:20:00)","1","30"
"3","[2016-09-19 06:00:00,2016-09-19 06:20:00)","0","39"
"2","[2016-09-19 06:00:00,2016-09-19 06:20:00)","0","30"
"1","[2016-09-19 06:20:00,2016-09-19 06:40:00)","1","57"
"1","[2016-09-19 06:20:00,2016-09-19 06:40:00)","0","13"
"3","[2016-09-19 06:20:00,2016-09-19 06:40:00)","1","38"
"3","[2016-09-19 06:20:00,2016-09-19 06:40:00)","0","58"
"2","[2016-09-19 06:20:00,2016-09-19 06:40:00)","0","36"
"1","[2016-09-19 06:40:00,2016-09-19 07:00:00)","1","72"
"1","[2016-09-19 06:40:00,2016-09-19 07:00:00)","0","32"
"3","[2016-09-19 06:40:00,2016-09-19 07:00:00)","1","65"
"3","[2016-09-19 06:40:00,2016-09-19 07:00:00)","0","71"
"2","[2016-09-19 06:40:00,2016-09-19 07:00:00)","0","37"
"1","[2016-09-19 07:00:00,2016-09-19 07:20:00)","1","70"
"1","[2016-09-19 07:00:00,2016-09-19 07:20:00)","0","39"
"3","[2016-09-19 07:00:00,2016-09-19 07:20:00)","1","67"
"3","[2016-09-19 07:00:00,2016-09-19 07:20:00)","0","127"
"2","[2016-09-19 07:00:00,2016-09-19 07:20:00)","0","84"
"1","[2016-09-19 07:20:00,2016-09-19 07:40:00)","1","83"
"1","[2016-09-19 07:20:00,2016-09-19 07:40:00)","0","31"
"3","[2016-09-19 07:20:00,2016-09-19 07:40:00)","1","71"
"3","[2016-09-19 07:20:00,2016-09-19 07:40:00)","0","123"
"2","[2016-09-19 07:20:00,2016-09-19 07:40:00)","0","80"
"1","[2016-09-19 07:40:00,2016-09-19 08:00:00)","1","118"
"1","[2016-09-19 07:40:00,2016-09-19 08:00:00)","0","43"
"3","[2016-09-19 07:40:00,2016-09-19 08:00:00)","1","103"
"3","[2016-09-19 07:40:00,2016-09-19 08:00:00)","0","153"
"2","[2016-09-19 07:40:00,2016-09-19 08:00:00)","0","97"
"1","[2016-09-19 08:00:00,2016-09-19 08:20:00)","1","123"
"1","[2016-09-19 08:00:00,2016-09-19 08:20:00)","0","46"
"3","[2016-09-19 08:00:00,2016-09-19 08:20:00)","1","118"
"3","[2016-09-19 08:00:00,2016-09-19 08:20:00)","0","161"
"2","[2016-09-19 08:00:00,2016-09-19 08:20:00)","0","129"
"1","[2016-09-19 08:20:00,2016-09-19 08:40:00)","1","119"
"1","[2016-09-19 08:20:00,2016-09-19 08:40:00)","0","56"
"3","[2016-09-19 08:20:00,2016-09-19 08:40:00)","1","168"
"3","[2016-09-19 08:20:00,2016-09-19 08:40:00)","0","167"
"2","[2016-09-19 08:20:00,2016-09-19 08:40:00)","0","122"
"1","[2016-09-19 08:40:00,2016-09-19 09:00:00)","1","116"
"1","[2016-09-19 08:40:00,2016-09-19 09:00:00)","0","41"
"3","[2016-09-19 08:40:00,2016-09-19 09:00:00)","1","161"
"3","[2016-09-19 08:40:00,2016-09-19 09:00:00)","0","138"
"2","[2016-09-19 08:40:00,2016-09-19 09:00:00)","0","98"
"1","[2016-09-19 09:00:00,2016-09-19 09:20:00)","1","120"
"1","[2016-09-19 09:00:00,2016-09-19 09:20:00)","0","50"
"3","[2016-09-19 09:00:00,2016-09-19 09:20:00)","1","145"
"3","[2016-09-19 09:00:00,2016-09-19 09:20:00)","0","174"
"2","[2016-09-19 09:00:00,2016-09-19 09:20:00)","0","89"
"1","[2016-09-19 09:20:00,2016-09-19 09:40:00)","1","151"
"1","[2016-09-19 09:20:00,2016-09-19 09:40:00)","0","49"
"3","[2016-09-19 09:20:00,2016-09-19 09:40:00)","1","125"
"3","[2016-09-19 09:20:00,2016-09-19 09:40:00)","0","144"
"2","[2016-09-19 09:20:00,2016-09-19 09:40:00)","0","78"
"1","[2016-09-19 09:40:00,2016-09-19 10:00:00)","1","131"
"1","[2016-09-19 09:40:00,2016-09-19 10:00:00)","0","44"
"3","[2016-09-19 09:40:00,2016-09-19 10:00:00)","1","116"
"3","[2016-09-19 09:40:00,2016-09-19 10:00:00)","0","148"
"2","[2016-09-19 09:40:00,2016-09-19 10:00:00)","0","59"
"1","[2016-09-19 10:00:00,2016-09-19 10:20:00)","1","101"
"1","[2016-09-19 10:00:00,2016-09-19 10:20:00)","0","44"
"3","[2016-09-19 10:00:00,2016-09-19 10:20:00)","1","117"
"3","[2016-09-19 10:00:00,2016-09-19 10:20:00)","0","104"
"2","[2016-09-19 10:00:00,2016-09-19 10:20:00)","0","71"
"1","[2016-09-19 10:20:00,2016-09-19 10:40:00)","1","105"
"1","[2016-09-19 10:20:00,2016-09-19 10:40:00)","0","44"
"3","[2016-09-19 10:20:00,2016-09-19 10:40:00)","1","87"
"3","[2016-09-19 10:20:00,2016-09-19 10:40:00)","0","111"
"2","[2016-09-19 10:20:00,2016-09-19 10:40:00)","0","88"
"1","[2016-09-19 10:40:00,2016-09-19 11:00:00)","1","102"
"1","[2016-09-19 10:40:00,2016-09-19 11:00:00)","0","44"
"3","[2016-09-19 10:40:00,2016-09-19 11:00:00)","1","85"
"3","[2016-09-19 10:40:00,2016-09-19 11:00:00)","0","122"
"2","[2016-09-19 10:40:00,2016-09-19 11:00:00)","0","65"
"1","[2016-09-19 11:00:00,2016-09-19 11:20:00)","1","86"
"1","[2016-09-19 11:00:00,2016-09-19 11:20:00)","0","39"
"3","[2016-09-19 11:00:00,2016-09-19 11:20:00)","1","73"
"3","[2016-09-19 11:00:00,2016-09-19 11:20:00)","0","111"
"2","[2016-09-19 11:00:00,2016-09-19 11:20:00)","0","50"
"1","[2016-09-19 11:20:00,2016-09-19 11:40:00)","1","76"
"1","[2016-09-19 11:20:00,2016-09-19 11:40:00)","0","30"
"3","[2016-09-19 11:20:00,2016-09-19 11:40:00)","1","72"
"3","[2016-09-19 11:20:00,2016-09-19 11:40:00)","0","82"
"2","[2016-09-19 11:20:00,2016-09-19 11:40:00)","0","61"
"1","[2016-09-19 11:40:00,2016-09-19 12:00:00)","1","100"
"1","[2016-09-19 11:40:00,2016-09-19 12:00:00)","0","34"
"3","[2016-09-19 11:40:00,2016-09-19 12:00:00)","1","73"
"3","[2016-09-19 11:40:00,2016-09-19 12:00:00)","0","91"
"2","[2016-09-19 11:40:00,2016-09-19 12:00:00)","0","46"
"1","[2016-09-19 12:00:00,2016-09-19 12:20:00)","1","99"
"1","[2016-09-19 12:00:00,2016-09-19 12:20:00)","0","45"
"3","[2016-09-19 12:00:00,2016-09-19 12:20:00)","1","94"
"3","[2016-09-19 12:00:00,2016-09-19 12:20:00)","0","104"
"2","[2016-09-19 12:00:00,2016-09-19 12:20:00)","0","87"
"1","[2016-09-19 12:20:00,2016-09-19 12:40:00)","1","70"
"1","[2016-09-19 12:20:00,2016-09-19 12:40:00)","0","44"
"3","[2016-09-19 12:20:00,2016-09-19 12:40:00)","1","86"
"3","[2016-09-19 12:20:00,2016-09-19 12:40:00)","0","91"
"2","[2016-09-19 12:20:00,2016-09-19 12:40:00)","0","66"
"1","[2016-09-19 12:40:00,2016-09-19 13:00:00)","1","79"
"1","[2016-09-19 12:40:00,2016-09-19 13:00:00)","0","53"
"3","[2016-09-19 12:40:00,2016-09-19 13:00:00)","1","94"
"3","[2016-09-19 12:40:00,2016-09-19 13:00:00)","0","122"
"2","[2016-09-19 12:40:00,2016-09-19 13:00:00)","0","69"
"1","[2016-09-19 13:00:00,2016-09-19 13:20:00)","1","100"
"1","[2016-09-19 13:00:00,2016-09-19 13:20:00)","0","57"
"3","[2016-09-19 13:00:00,2016-09-19 13:20:00)","1","91"
"3","[2016-09-19 13:00:00,2016-09-19 13:20:00)","0","117"
"2","[2016-09-19 13:00:00,2016-09-19 13:20:00)","0","81"
"1","[2016-09-19 13:20:00,2016-09-19 13:40:00)","1","108"
"1","[2016-09-19 13:20:00,2016-09-19 13:40:00)","0","61"
"3","[2016-09-19 13:20:00,2016-09-19 13:40:00)","1","110"
"3","[2016-09-19 13:20:00,2016-09-19 13:40:00)","0","107"
"2","[2016-09-19 13:20:00,2016-09-19 13:40:00)","0","95"
"1","[2016-09-19 13:40:00,2016-09-19 14:00:00)","1","106"
"1","[2016-09-19 13:40:00,2016-09-19 14:00:00)","0","53"
"3","[2016-09-19 13:40:00,2016-09-19 14:00:00)","1","100"
"3","[2016-09-19 13:40:00,2016-09-19 14:00:00)","0","131"
"2","[2016-09-19 13:40:00,2016-09-19 14:00:00)","0","67"
"1","[2016-09-19 14:00:00,2016-09-19 14:20:00)","1","101"
"1","[2016-09-19 14:00:00,2016-09-19 14:20:00)","0","55"
"3","[2016-09-19 14:00:00,2016-09-19 14:20:00)","1","95"
"3","[2016-09-19 14:00:00,2016-09-19 14:20:00)","0","100"
"2","[2016-09-19 14:00:00,2016-09-19 14:20:00)","0","66"
"1","[2016-09-19 14:20:00,2016-09-19 14:40:00)","1","100"
"1","[2016-09-19 14:20:00,2016-09-19 14:40:00)","0","52"
"3","[2016-09-19 14:20:00,2016-09-19 14:40:00)","1","99"
"3","[2016-09-19 14:20:00,2016-09-19 14:40:00)","0","84"
"2","[2016-09-19 14:20:00,2016-09-19 14:40:00)","0","62"
"1","[2016-09-19 14:40:00,2016-09-19 15:00:00)","1","101"
"1","[2016-09-19 14:40:00,2016-09-19 15:00:00)","0","52"
"3","[2016-09-19 14:40:00,2016-09-19 15:00:00)","1","93"
"3","[2016-09-19 14:40:00,2016-09-19 15:00:00)","0","107"
"2","[2016-09-19 14:40:00,2016-09-19 15:00:00)","0","79"
"1","[2016-09-19 15:00:00,2016-09-19 15:20:00)","1","77"
"1","[2016-09-19 15:00:00,2016-09-19 15:20:00)","0","48"
"3","[2016-09-19 15:00:00,2016-09-19 15:20:00)","1","75"
"3","[2016-09-19 15:00:00,2016-09-19 15:20:00)","0","117"
"2","[2016-09-19 15:00:00,2016-09-19 15:20:00)","0","77"
"1","[2016-09-19 15:20:00,2016-09-19 15:40:00)","1","104"
"1","[2016-09-19 15:20:00,2016-09-19 15:40:00)","0","57"
"3","[2016-09-19 15:20:00,2016-09-19 15:40:00)","1","95"
"3","[2016-09-19 15:20:00,2016-09-19 15:40:00)","0","109"
"2","[2016-09-19 15:20:00,2016-09-19 15:40:00)","0","67"
"1","[2016-09-19 15:40:00,2016-09-19 16:00:00)","1","92"
"1","[2016-09-19 15:40:00,2016-09-19 16:00:00)","0","43"
"3","[2016-09-19 15:40:00,2016-09-19 16:00:00)","1","83"
"3","[2016-09-19 15:40:00,2016-09-19 16:00:00)","0","115"
"2","[2016-09-19 15:40:00,2016-09-19 16:00:00)","0","74"
"1","[2016-09-19 16:00:00,2016-09-19 16:20:00)","1","110"
"1","[2016-09-19 16:00:00,2016-09-19 16:20:00)","0","42"
"3","[2016-09-19 16:00:00,2016-09-19 16:20:00)","1","101"
"3","[2016-09-19 16:00:00,2016-09-19 16:20:00)","0","123"
"2","[2016-09-19 16:00:00,2016-09-19 16:20:00)","0","76"
"1","[2016-09-19 16:20:00,2016-09-19 16:40:00)","1","122"
"1","[2016-09-19 16:20:00,2016-09-19 16:40:00)","0","46"
"3","[2016-09-19 16:20:00,2016-09-19 16:40:00)","1","90"
"3","[2016-09-19 16:20:00,2016-09-19 16:40:00)","0","111"
"2","[2016-09-19 16:20:00,2016-09-19 16:40:00)","0","86"
"1","[2016-09-19 16:40:00,2016-09-19 17:00:00)","1","116"
"1","[2016-09-19 16:40:00,2016-09-19 17:00:00)","0","55"
"3","[2016-09-19 16:40:00,2016-09-19 17:00:00)","1","115"
"3","[2016-09-19 16:40:00,2016-09-19 17:00:00)","0","116"
"2","[2016-09-19 16:40:00,2016-09-19 17:00:00)","0","99"
"1","[2016-09-19 17:00:00,2016-09-19 17:20:00)","1","96"
"1","[2016-09-19 17:00:00,2016-09-19 17:20:00)","0","36"
"3","[2016-09-19 17:00:00,2016-09-19 17:20:00)","1","86"
"3","[2016-09-19 17:00:00,2016-09-19 17:20:00)","0","110"
"2","[2016-09-19 17:00:00,2016-09-19 17:20:00)","0","85"
"1","[2016-09-19 17:20:00,2016-09-19 17:40:00)","1","116"
"1","[2016-09-19 17:20:00,2016-09-19 17:40:00)","0","34"
"3","[2016-09-19 17:20:00,2016-09-19 17:40:00)","1","85"
"3","[2016-09-19 17:20:00,2016-09-19 17:40:00)","0","118"
"2","[2016-09-19 17:20:00,2016-09-19 17:40:00)","0","72"
"1","[2016-09-19 17:40:00,2016-09-19 18:00:00)","1","112"
"1","[2016-09-19 17:40:00,2016-09-19 18:00:00)","0","24"
"3","[2016-09-19 17:40:00,2016-09-19 18:00:00)","1","91"
"3","[2016-09-19 17:40:00,2016-09-19 18:00:00)","0","95"
"2","[2016-09-19 17:40:00,2016-09-19 18:00:00)","0","53"
"1","[2016-09-19 18:00:00,2016-09-19 18:20:00)","1","67"
"1","[2016-09-19 18:00:00,2016-09-19 18:20:00)","0","29"
"3","[2016-09-19 18:00:00,2016-09-19 18:20:00)","1","73"
"3","[2016-09-19 18:00:00,2016-09-19 18:20:00)","0","94"
"2","[2016-09-19 18:00:00,2016-09-19 18:20:00)","0","55"
"1","[2016-09-19 18:20:00,2016-09-19 18:40:00)","1","94"
"1","[2016-09-19 18:20:00,2016-09-19 18:40:00)","0","27"
"3","[2016-09-19 18:20:00,2016-09-19 18:40:00)","1","78"
"3","[2016-09-19 18:20:00,2016-09-19 18:40:00)","0","56"
"2","[2016-09-19 18:20:00,2016-09-19 18:40:00)","0","50"
"1","[2016-09-19 18:40:00,2016-09-19 19:00:00)","1","65"
"1","[2016-09-19 18:40:00,2016-09-19 19:00:00)","0","18"
"3","[2016-09-19 18:40:00,2016-09-19 19:00:00)","1","77"
"3","[2016-09-19 18:40:00,2016-09-19 19:00:00)","0","61"
"2","[2016-09-19 18:40:00,2016-09-19 19:00:00)","0","49"
"1","[2016-09-19 19:00:00,2016-09-19 19:20:00)","1","62"
"1","[2016-09-19 19:00:00,2016-09-19 19:20:00)","0","13"
"3","[2016-09-19 19:00:00,2016-09-19 19:20:00)","1","44"
"3","[2016-09-19 19:00:00,2016-09-19 19:20:00)","0","51"
"2","[2016-09-19 19:00:00,2016-09-19 19:20:00)","0","44"
"1","[2016-09-19 19:20:00,2016-09-19 19:40:00)","1","44"
"1","[2016-09-19 19:20:00,2016-09-19 19:40:00)","0","22"
"3","[2016-09-19 19:20:00,2016-09-19 19:40:00)","1","45"
"3","[2016-09-19 19:20:00,2016-09-19 19:40:00)","0","61"
"2","[2016-09-19 19:20:00,2016-09-19 19:40:00)","0","49"
"1","[2016-09-19 19:40:00,2016-09-19 20:00:00)","1","41"
"1","[2016-09-19 19:40:00,2016-09-19 20:00:00)","0","27"
"3","[2016-09-19 19:40:00,2016-09-19 20:00:00)","1","46"
"3","[2016-09-19 19:40:00,2016-09-19 20:00:00)","0","50"
"2","[2016-09-19 19:40:00,2016-09-19 20:00:00)","0","41"
"1","[2016-09-19 20:00:00,2016-09-19 20:20:00)","1","48"
"1","[2016-09-19 20:00:00,2016-09-19 20:20:00)","0","17"
"3","[2016-09-19 20:00:00,2016-09-19 20:20:00)","1","32"
"3","[2016-09-19 20:00:00,2016-09-19 20:20:00)","0","55"
"2","[2016-09-19 20:00:00,2016-09-19 20:20:00)","0","56"
"1","[2016-09-19 20:20:00,2016-09-19 20:40:00)","1","34"
"1","[2016-09-19 20:20:00,2016-09-19 20:40:00)","0","16"
"3","[2016-09-19 20:20:00,2016-09-19 20:40:00)","1","40"
"3","[2016-09-19 20:20:00,2016-09-19 20:40:00)","0","29"
"2","[2016-09-19 20:20:00,2016-09-19 20:40:00)","0","21"
"1","[2016-09-19 20:40:00,2016-09-19 21:00:00)","1","39"
"1","[2016-09-19 20:40:00,2016-09-19 21:00:00)","0","17"
"3","[2016-09-19 20:40:00,2016-09-19 21:00:00)","1","42"
"3","[2016-09-19 20:40:00,2016-09-19 21:00:00)","0","41"
"2","[2016-09-19 20:40:00,2016-09-19 21:00:00)","0","35"
"1","[2016-09-19 21:00:00,2016-09-19 21:20:00)","1","24"
"1","[2016-09-19 21:00:00,2016-09-19 21:20:00)","0","17"
"3","[2016-09-19 21:00:00,2016-09-19 21:20:00)","1","30"
"3","[2016-09-19 21:00:00,2016-09-19 21:20:00)","0","32"
"2","[2016-09-19 21:00:00,2016-09-19 21:20:00)","0","29"
"1","[2016-09-19 21:20:00,2016-09-19 21:40:00)","1","35"
"1","[2016-09-19 21:20:00,2016-09-19 21:40:00)","0","22"
"3","[2016-09-19 21:20:00,2016-09-19 21:40:00)","1","37"
"3","[2016-09-19 21:20:00,2016-09-19 21:40:00)","0","34"
"2","[2016-09-19 21:20:00,2016-09-19 21:40:00)","0","20"
"1","[2016-09-19 21:40:00,2016-09-19 22:00:00)","1","30"
"1","[2016-09-19 21:40:00,2016-09-19 22:00:00)","0","5"
"3","[2016-09-19 21:40:00,2016-09-19 22:00:00)","1","33"
"3","[2016-09-19 21:40:00,2016-09-19 22:00:00)","0","30"
"2","[2016-09-19 21:40:00,2016-09-19 22:00:00)","0","24"
"1","[2016-09-19 22:00:00,2016-09-19 22:20:00)","1","21"
"1","[2016-09-19 22:00:00,2016-09-19 22:20:00)","0","4"
"3","[2016-09-19 22:00:00,2016-09-19 22:20:00)","1","16"
"3","[2016-09-19 22:00:00,2016-09-19 22:20:00)","0","22"
"2","[2016-09-19 22:00:00,2016-09-19 22:20:00)","0","21"
"1","[2016-09-19 22:20:00,2016-09-19 22:40:00)","1","24"
"1","[2016-09-19 22:20:00,2016-09-19 22:40:00)","0","9"
"3","[2016-09-19 22:20:00,2016-09-19 22:40:00)","1","13"
"3","[2016-09-19 22:20:00,2016-09-19 22:40:00)","0","24"
"2","[2016-09-19 22:20:00,2016-09-19 22:40:00)","0","12"
"1","[2016-09-19 22:40:00,2016-09-19 23:00:00)","1","23"
"1","[2016-09-19 22:40:00,2016-09-19 23:00:00)","0","3"
"3","[2016-09-19 22:40:00,2016-09-19 23:00:00)","1","21"
"3","[2016-09-19 22:40:00,2016-09-19 23:00:00)","0","12"
"2","[2016-09-19 22:40:00,2016-09-19 23:00:00)","0","24"
"1","[2016-09-19 23:00:00,2016-09-19 23:20:00)","1","16"
"1","[2016-09-19 23:00:00,2016-09-19 23:20:00)","0","1"
"3","[2016-09-19 23:00:00,2016-09-19 23:20:00)","1","7"
"3","[2016-09-19 23:00:00,2016-09-19 23:20:00)","0","6"
"2","[2016-09-19 23:00:00,2016-09-19 23:20:00)","0","16"
"1","[2016-09-19 23:20:00,2016-09-19 23:40:00)","1","10"
"1","[2016-09-19 23:20:00,2016-09-19 23:40:00)","0","7"
"3","[2016-09-19 23:20:00,2016-09-19 23:40:00)","1","11"
"3","[2016-09-19 23:20:00,2016-09-19 23:40:00)","0","11"
"2","[2016-09-19 23:20:00,2016-09-19 23:40:00)","0","6"
"1","[2016-09-19 23:40:00,2016-09-20 00:00:00)","1","13"
"1","[2016-09-19 23:40:00,2016-09-20 00:00:00)","0","6"
"3","[2016-09-19 23:40:00,2016-09-20 00:00:00)","1","16"
"3","[2016-09-19 23:40:00,2016-09-20 00:00:00)","0","22"
"2","[2016-09-19 23:40:00,2016-09-20 00:00:00)","0","12"
"1","[2016-09-20 00:00:00,2016-09-20 00:20:00)","1","139"
"1","[2016-09-20 00:00:00,2016-09-20 00:20:00)","0","14"
"3","[2016-09-20 00:00:00,2016-09-20 00:20:00)","1","231"
"3","[2016-09-20 00:00:00,2016-09-20 00:20:00)","0","17"
"1","[2016-09-20 00:20:00,2016-09-20 00:40:00)","1","80"
"1","[2016-09-20 00:20:00,2016-09-20 00:40:00)","0","13"
"3","[2016-09-20 00:20:00,2016-09-20 00:40:00)","1","148"
"3","[2016-09-20 00:20:00,2016-09-20 00:40:00)","0","13"
"2","[2016-09-20 00:20:00,2016-09-20 00:40:00)","0","2"
"1","[2016-09-20 00:40:00,2016-09-20 01:00:00)","1","37"
"1","[2016-09-20 00:40:00,2016-09-20 01:00:00)","0","7"
"3","[2016-09-20 00:40:00,2016-09-20 01:00:00)","1","92"
"3","[2016-09-20 00:40:00,2016-09-20 01:00:00)","0","17"
"2","[2016-09-20 00:40:00,2016-09-20 01:00:00)","0","2"
"1","[2016-09-20 01:00:00,2016-09-20 01:20:00)","1","6"
"1","[2016-09-20 01:00:00,2016-09-20 01:20:00)","0","6"
"3","[2016-09-20 01:00:00,2016-09-20 01:20:00)","1","9"
"3","[2016-09-20 01:00:00,2016-09-20 01:20:00)","0","15"
"1","[2016-09-20 01:20:00,2016-09-20 01:40:00)","1","8"
"1","[2016-09-20 01:20:00,2016-09-20 01:40:00)","0","5"
"3","[2016-09-20 01:20:00,2016-09-20 01:40:00)","1","10"
"3","[2016-09-20 01:20:00,2016-09-20 01:40:00)","0","14"
"2","[2016-09-20 01:20:00,2016-09-20 01:40:00)","0","1"
"1","[2016-09-20 01:40:00,2016-09-20 02:00:00)","1","11"
"1","[2016-09-20 01:40:00,2016-09-20 02:00:00)","0","5"
"3","[2016-09-20 01:40:00,2016-09-20 02:00:00)","1","5"
"3","[2016-09-20 01:40:00,2016-09-20 02:00:00)","0","18"
"1","[2016-09-20 02:00:00,2016-09-20 02:20:00)","1","8"
"1","[2016-09-20 02:00:00,2016-09-20 02:20:00)","0","6"
"3","[2016-09-20 02:00:00,2016-09-20 02:20:00)","1","4"
"3","[2016-09-20 02:00:00,2016-09-20 02:20:00)","0","12"
"1","[2016-09-20 02:20:00,2016-09-20 02:40:00)","1","12"
"1","[2016-09-20 02:20:00,2016-09-20 02:40:00)","0","9"
"3","[2016-09-20 02:20:00,2016-09-20 02:40:00)","1","4"
"3","[2016-09-20 02:20:00,2016-09-20 02:40:00)","0","17"
"1","[2016-09-20 02:40:00,2016-09-20 03:00:00)","1","8"
"1","[2016-09-20 02:40:00,2016-09-20 03:00:00)","0","7"
"3","[2016-09-20 02:40:00,2016-09-20 03:00:00)","1","8"
"3","[2016-09-20 02:40:00,2016-09-20 03:00:00)","0","13"
"1","[2016-09-20 03:00:00,2016-09-20 03:20:00)","1","2"
